root_seed,initiative_holder,initiative_rounds,initiative_dice_axis_commonwealth,initiative_cursor_after,first_side,weather_kind,weather_dice_first_second,weather_cursor_after,report_fingerprint
0,commonwealth,1,2:4,2,commonwealth,normal,1:3,4,sha256:80a00853eb7883cbbcfee342022d2e6b817062777f7b4f96a2888896209df41e
1,commonwealth,1,1:6,2,commonwealth,hot,3:3,4,sha256:949e323539ca1bc6eb01256ced8f2ec01350c2cb8be4eeae43431a11ea496b3e
2,commonwealth,2,2:1|2:5,4,commonwealth,hot,4:1,6,sha256:b61517dd599228224386577b4f14b6fc2a5327efffd51144125d092568d50c55
3,commonwealth,1,5:5,2,commonwealth,hot,3:6,4,sha256:3aa5b9d718aff1f91df0d0e2ad847a8c444b3fcaf5aec1e35de27fa5df47f02c
4,axis,1,4:2,2,axis,sandstorm,6:2,5,sha256:3d974e0b9e271894dff835dfcf809626d68034848aa77e7e9e7fbde1a2c073b5
5,axis,1,4:1,2,axis,sandstorm,6:5,5,sha256:a23f3b2b2def711fcc356602c11583baad1e5537ba22a98b2759da2607e6fed6
6,commonwealth,1,1:6,2,commonwealth,sandstorm,6:5,5,sha256:da7f14566c26394317b646a3c71749fb5a90718549844a5ee5797efa1f21c918
7,commonwealth,1,1:5,2,commonwealth,hot,4:6,4,sha256:0ff04184aec53e18b9744d9640c17d83f937c6b6f3c9eeb0c36bf2d7996453bf
8,commonwealth,1,1:5,2,commonwealth,hot,3:3,4,sha256:7581819053594750c42e3ab265021ee26dc40af6d8ea3269627027735458196f
9,axis,1,4:2,2,axis,normal,1:5,4,sha256:51879843f0a6c13d5e998acb57e49bd5a3e45474ea14677f3cdaf7a1bd22f164
10,commonwealth,1,1:1,2,commonwealth,normal,1:6,4,sha256:b94901e2256c4fe1d37635a881403500be1711f9a2190fcd30706eeabc4ad391
11,commonwealth,1,4:6,2,commonwealth,hot,4:3,4,sha256:77be48557fa178a8a9b46f11f6db4f9b05c24c8ec2c246398af68537232f5e5b
12,axis,1,3:1,2,axis,hot,3:1,4,sha256:d8523a41034bb4bc16d8ddd27f728beba66a4e78042a6ff58fd905a7924cf75a
13,axis,2,6:5|6:1,4,axis,hot,3:2,6,sha256:3876143b4ff631dfedd62bf508ed62ac9194a551e468b585f8bea402e6fddd8d
14,commonwealth,1,6:6,2,commonwealth,hot,3:3,4,sha256:186ab1a0b768ac824bcc86d21c986a26a44c60a2b21817ccfcc350786111b7c9
15,commonwealth,1,1:3,2,commonwealth,hot,2:6,4,sha256:f7560eca227097181d4a47fd67ece98bdd10fd0dd427faa47946df5fde9b8989
16,commonwealth,1,3:5,2,commonwealth,normal,2:1,4,sha256:78ece67392dd681e03afe80049df0abf61b5a72fd5a73f7e20dd66661343b510
17,axis,1,5:2,2,axis,normal,2:2,4,sha256:bc2dcf234fad2d60c4b325583d768cf424b4ce19df729bfb34a3f1a8ab8abf50
18,commonwealth,1,2:3,2,commonwealth,hot,3:4,4,sha256:f2480f0759884d7998960017d21adb6110d95f407cd174f432dd205a57a5abb9
19,axis,1,4:2,2,axis,normal,1:3,4,sha256:60d518510b4a6b0607d2029adb396ba7e40978cf014820ba76f95be4e6a3d135
20,commonwealth,1,4:5,2,commonwealth,hot,4:6,4,sha256:c0238eba2448ee8c073915397d52add35a842be7e94a4c194eeba87ae308a2e3
21,axis,1,6:3,2,axis,hot,2:5,4,sha256:7ec230298070a47312c752faf0ba017c82c44c32de6fcd325453c353c55cc926
22,commonwealth,1,3:6,2,commonwealth,hot,3:5,4,sha256:136a9168d425e5d7d4f9e978664393456b24ab2e4d691f9472ec3332a501bf1d
23,commonwealth,1,4:6,2,commonwealth,normal,1:3,4,sha256:991c6b4b468e436afd38f3c6418cffec7332523b5752f7d39ddca326c332d697
24,commonwealth,1,1:4,2,commonwealth,hot,5:2,4,sha256:5b5bd91adf63fb03f47ad116071a3c330c17d2a534234b92186003158b6753e9
25,axis,2,3:2|5:2,4,axis,hot,3:3,6,sha256:8abb4101919bf8ba7d372deece8abcd39e8501e0aea9bf34262daf0d55bfcbb8
26,axis,1,6:4,2,axis,sandstorm,6:4,5,sha256:a27bfb3b583aa3fb3d54c0e59cdcab812def85379f4340d20dccbf3d326f8e2d
27,commonwealth,1,2:3,2,commonwealth,hot,4:2,4,sha256:bfd61bb776e66fa5a1dbdb65a873d03f33dce556d10976db0ce75208554102fb
28,axis,1,4:2,2,axis,hot,5:2,4,sha256:97521bc489f2ad7f14f856b909548e930c8e067e09812d046cadf7a0633e344a
29,axis,1,6:4,2,axis,hot,4:6,4,sha256:11d59397b5420a2784d25d99bd37697e680c972d55fbcd2676f6bc80d33d5f6e
30,axis,1,5:3,2,axis,hot,4:2,4,sha256:13a7128b2bc5abb22924e607c81c08ccd74aedba48416fb7f1807231591a429a
31,commonwealth,1,1:1,2,commonwealth,hot,4:6,4,sha256:3ad528ee5aa437c474e3aeb2739555ba49b3b7c8b8568f08cad5b2cca44eb296
