rootSeed,study,campaigns,steps,reactionMoves,stopResolutions,rolledChecks,noRollChecks,zeroLossRolls,lostPoints,zeroWorkingCohorts,weather,noRollReasons,terminals,canonicalMatrixHash,reportFingerprint
0,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,7,9,1,"{""hot"":1,""normal"":4,""sandstorm"":1}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:b76ce9cc258055787071e1b0d8fcb98397549043fba945ccdf99ac8e8d277a9d,sha256:a197acc3ee0b8a98c28abcc5ece4695f7a06b0d5594b3f35b49a5481adc05369
0,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":3,""normal"":8,""rainstorm"":2}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:ba96656c46ebea096986246811bd81e32f8c6eb2d0b615ed92d46e92cffc5984,sha256:8b6b61fc7f097341a421003d7bba4048d14a5017341f744a6bce4947e9c5d928
1,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,6,11,0,"{""hot"":3,""normal"":2,""rainstorm"":1}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:8a2784a34758fc7e134a4f4d4d8789436e6f0531c417a982d3605c0e761224c9,sha256:8d1ce3673c7829415f86c171669850711a74420bb2143876e997b0c4face8881
1,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":4,""normal"":2,""rainstorm"":7}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:23875ed7af13ca4dae960e690d1f6637c24662a309ef2c816fdc0ec3162d6ce3,sha256:931a2ad730d2b15d4c4eb3c1a55c94fd1348e651e25d0a4fcbcd644461a43e30
2,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,8,7,0,"{""normal"":4,""rainstorm"":1,""sandstorm"":1}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:6bcde61c5127507d3c575605c2b8c40ae645deff09ad7904227b14fdf5e2dafa,sha256:c66b5933b1c8d2ddb6134cffaa541c1d180474a28a60dfa87145dcba16409fe1
2,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":4,""normal"":7,""rainstorm"":2}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:9203c7558314b283e8357e0f4a682b01287ee94e1dafe3a00eae1a27248b72b0,sha256:6242a1c0d4fe1a6a42d358328601e2b8a982dd20f18f9de2bd22da44fb05e99e
3,rules-lab.breakdown-truck.serial.v1,6,106,2,12,8,1,3,10,1,"{""hot"":2,""normal"":4}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:eced0b2da932c3c0974945862710121818f5248d3b8f2b7f0bf122703606c2f1,sha256:4eaa70046c21ee2b3f7d00f720c501c2d57e3f116a1d6edefb6a5d112b9b94ef
3,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":4,""normal"":6,""sandstorm"":3}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:e9f2277ab35381b29ed95d8efb6b8aeea367ac01e593ef83c8c74040c8cb7008,sha256:7f793960d2ed0e5eb42361536d30c63b6a2295f3f2bee484e0a399c9ad7cdde3
4,rules-lab.breakdown-truck.serial.v1,6,111,2,14,10,1,6,8,0,"{""hot"":2,""normal"":4}","{""raw-bp-not-above-three"":1}","{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":1,""land.position.operation-1.first-player.movement-and-combat.combat.position-determination"":5}",sha256:1c97776eae0f2ebd9d24e59753fffca30b6096f4dd40703d48568ba2469e1e4e,sha256:825fda9c44cc7493966e0456c4c38326fa72ae0d79fef15192603e1f3d935f6c
4,rules-lab.reaction.serial.breakdown.v1,13,243,17,29,0,0,0,0,0,"{""hot"":4,""normal"":7,""rainstorm"":2}",{},"{""land.position.operation-1.first-player.movement-and-combat.breakdown-determination"":13}",sha256:03d301a23c76c472c43ec4fa452dba46c2f18d3f0877d38b23a0a0668ecb839e,sha256:1248f746e7754aa6d94e7f8e0122c83d8c4b8455f5cf8f98425a86327911727d
